corruption_type,severity,online/rmse_loss,online/mae_loss,online/R2,online/r,online/model_dist,offline/rmse_loss,offline/mae_loss,offline/R2,offline/r,offline/model_dist
gaussian_noise,5,13.439042460880346,9.410198270407086,0.5283158606581035,0.73207034771655,0.1954788863658905,13.662566446100643,9.685705481438514,0.5124948644433733,0.7274105109121619,8.045721054077148
shot_noise,5,7.521249251816609,5.2083025732967725,0.8522611944519197,0.925968452149681,0.2069137543439865,9.091836096218751,6.515066787729382,0.784117312171351,0.9079733415962181,7.293107986450195
impulse_noise,5,17.653067735213536,12.898907963773466,0.18613008279036358,0.4869728596713574,0.1992727518081665,16.590938129321323,12.220126786279266,0.2811198226270061,0.5409432287543797,9.539031982421875
defocus_blur,5,13.757115951227107,9.92596333843071,0.5057241218861752,0.7250428208235772,0.2084220051765442,13.384450752133999,9.617633245886944,0.5321402019638779,0.735938475233128,9.211923599243164
motion_blur,5,9.519538434277546,6.429745587033326,0.7633282597631792,0.8840936463364772,0.21006466448307037,9.34583084349602,6.686182948613162,0.7718867809177206,0.8846984026953185,7.867313385009766
zoom_blur,5,10.061602992439779,6.625011946978486,0.7356075951937326,0.8643586890485694,0.2064696103334427,9.054541823960378,6.365254149309218,0.7858847604313574,0.888881086252967,9.254402160644531
snow,5,16.807613957480186,12.239754436036701,0.2622202177173736,0.5486549764685014,0.21086974442005157,17.236566198079604,12.536393792185192,0.22408146888571612,0.5231868357457621,9.211915969848633
fog,5,12.962978961659635,9.290877616800254,0.5611417638581117,0.7553462721877183,0.20359937846660614,13.44072809780774,9.814460128401182,0.5281975281103857,0.7416600589637022,8.710320472717285
brightness,5,13.448461073745818,9.270951704545455,0.5276544791504925,0.7347147362660049,0.21116846799850464,18.493228464787677,12.490186175121282,0.10681773571877695,0.6307076165856693,9.119377136230469
contrast,5,4.881630363387404,3.2731965006064123,0.9377636085036779,0.9697146291417063,0.2064097821712494,5.965055633452862,4.433242344046614,0.9070726360308377,0.968075865866,5.604790210723877
elastic_transform,5,8.895959228363289,6.221822845259439,0.7933191740261121,0.9039541216309767,0.20946025848388672,8.14935647247184,5.894064493909513,0.826555212947589,0.9137426288994832,8.077187538146973
pixelate,5,14.898606195488039,10.392238254060326,0.4202965264022842,0.664218594193459,0.211471289396286,14.300486541136461,9.774268844916683,0.4659077845412509,0.7141228750746028,8.536251068115234
jpeg_compression,5,12.542606673923725,8.825130840012655,0.5891434381029939,0.7799711071056994,0.20715206861495972,11.889204999846271,8.587537571187513,0.6308352275491207,0.7963190911605311,8.381146430969238
