corruption_type,severity,rmse_loss,mae_loss,R2,r,model_dist
gaussian_noise,5,36.927772870786185,31.41693801413204,-2.5614008072439822,-0.07047539709245922,0.0
shot_noise,5,34.71560261257568,29.065162940307953,-2.147487671225987,-0.0035426036972827663,0.0
impulse_noise,5,38.53366016379793,33.25083711242354,-2.8778869729764134,0.10241444556295054,0.0
defocus_blur,5,11.886008979025855,7.890979289706813,0.6310336764304256,0.8303331175758359,0.0
motion_blur,5,7.133763533764163,4.559949526075722,0.8670917193547443,0.9440181787221763,0.0
zoom_blur,5,7.145292847136159,4.735032083816705,0.8666617697312644,0.9318291431227752,0.0
snow,5,6.717327739395152,4.315453787439359,0.8821559398498794,0.9424280528758091,0.0
fog,5,16.954657137496877,12.902970760388104,0.24925466127863183,0.7311160838778167,0.0
brightness,5,13.534269568491085,9.863296904661464,0.5216076067753622,0.7500128863265447,0.0
contrast,5,6.017778503349596,4.042601689385151,0.9054226768075165,0.9554959497846763,0.0
elastic_transform,5,7.323237791344499,5.181700359892428,0.8599378162146101,0.9301455810053069,0.0
pixelate,5,21.404706581175017,15.919554814385151,-0.1965564125164334,0.498962211505423,0.0
jpeg_compression,5,14.662811318159662,10.079192812697743,0.43850083721789246,0.7035660518000778,0.0
