corruption_type,severity,online/rmse_loss,online/mae_loss,online/R2,online/r,offline/rmse_loss,offline/mae_loss,offline/R2,offline/r,offline/model_dist
gaussian_noise,5,12.051929774295033,8.601929972579624,0.6206607286157149,0.7889354540665208,10.922086534496614,7.867595345127611,0.6884513691332388,0.8328384389033866,0.0
shot_noise,5,6.65586185210488,4.690061185008437,0.8843027012496425,0.9412229822314554,6.221627225090706,4.383699460161358,0.8989066487604009,0.9487749790036822,0.0
impulse_noise,5,16.530185137219263,12.330486382092385,0.2863749996472422,0.5427749325483954,15.543027011276655,11.484218453385362,0.3690632500164496,0.6103058854434521,0.0
defocus_blur,5,13.22734240151666,9.776977925279477,0.5430593317794603,0.7407966323463153,12.207726261194411,8.996441448270406,0.6107898247960057,0.7839354283146724,0.0
motion_blur,5,8.653690752295441,6.027546024704703,0.8044231876884342,0.8992094077806058,8.043027301806184,5.53942420507277,0.8310517464738008,0.9124735072146242,0.0
zoom_blur,5,9.018713407176003,6.257265822743092,0.7875758967646787,0.8877164133844884,8.010313070159357,5.6720496730647545,0.8324233126273383,0.9132662468026902,0.0
snow,5,14.689895469228405,10.67762685219363,0.4364245950619068,0.6635903595595264,13.653813537980163,10.07095846076777,0.513119303610658,0.7167134476955254,0.0
fog,5,12.244648198815717,8.812280834739507,0.608431953242193,0.7814315228589607,11.611007385758061,8.375368296509174,0.6479094057261379,0.8077186172872193,0.0
brightness,5,12.634174947669138,8.960819678074246,0.5831225596392768,0.765095321124901,12.164873784256063,8.541897641584054,0.6135174984723198,0.7870254702841791,0.0
contrast,5,4.297333565730373,2.837411303983864,0.9517705008303174,0.975757317632889,3.940479352960954,2.557221083368488,0.959447957496785,0.979572631663452,0.0
elastic_transform,5,8.214971448880819,5.852169736078887,0.8237509691269269,0.9097573271813708,7.854473462608135,5.57676634017085,0.8388802518658938,0.917271807332548,0.0
pixelate,5,13.947227427747947,9.841001371018772,0.49196879811775673,0.7032940723094226,12.734101883127831,9.089784427072347,0.5765020997619708,0.7610543034223063,0.0
jpeg_compression,5,11.969197133697444,8.695633832524784,0.6258509380719289,0.7944184113188185,11.07921647276037,8.023028007013288,0.6794227369013588,0.8271083063022976,0.0
