corruption_type,severity,online/rmse_loss,online/mae_loss,online/R2,online/r,online/model_dist,offline/rmse_loss,offline/mae_loss,offline/R2,offline/r,offline/model_dist
gaussian_noise,5,12.88962481059309,9.070876067812698,0.5660944819223683,0.7556398406679018,0.22885948419570923,12.295242399279259,8.592140865587428,0.6051893935457684,0.7880038991986611,4.9579596519470215
shot_noise,5,7.325022865274766,5.081274058742881,0.8598695262499902,0.9335138616863247,0.22842547297477722,7.2370674317433945,4.989513436643113,0.8632145639296218,0.9361558624175531,3.271446704864502
impulse_noise,5,17.211207523494384,12.6445864532799,0.22636287358224594,0.5068003725045064,0.22896124422550201,16.50976362261129,11.950149790392322,0.2881371458379006,0.5565365924907179,6.133836269378662
defocus_blur,5,14.00371566460496,10.051264896646277,0.4878452686130681,0.7252044968995452,0.22853979468345642,13.610185402815373,9.868169624024468,0.5162257998131692,0.738272549878158,5.34652042388916
motion_blur,5,9.717022201262001,6.619946840065387,0.7534068485685788,0.8842629711667319,0.22836481034755707,9.527324185622403,6.519246994304999,0.7629409676976344,0.8895297616510057,4.809412956237793
zoom_blur,5,10.083531437644,6.71743130075406,0.7344538958897613,0.8694289255037339,0.22881269454956055,9.585682500820623,6.564178344494833,0.7600279281682761,0.8841666432121619,5.802857875823975
snow,5,16.486707108593247,11.810109780373338,0.290124044682473,0.5685536054622428,0.22874993085861206,15.855184154891752,11.470577475743514,0.3434660297917933,0.5951772022041413,6.148974418640137
fog,5,12.642667697490719,9.011397417475216,0.5825619174492749,0.7759402059109995,0.2287963330745697,12.662439058022066,8.98976514712086,0.5812552672162268,0.7715695201526254,5.124822616577148
brightness,5,13.288829594242426,9.170837672695633,0.5388012880868365,0.7497933541426357,0.22859877347946167,13.072449941745225,9.166172583579414,0.553698243787107,0.7545559771834567,5.87963342666626
contrast,5,4.685804991298007,3.11675205323244,0.9426566524660052,0.9744068565529623,0.22828498482704163,4.773354846070082,3.143490420995043,0.9404938213203452,0.9733031445708843,2.8993167877197266
elastic_transform,5,8.939895228283207,6.303133156902552,0.7912725924723548,0.9064594062321643,0.22853516042232513,8.79820654206792,6.248915296746467,0.7978364166088999,0.9108896862015782,4.509593486785889
pixelate,5,15.346280708224288,10.610329110419743,0.38493516675433226,0.6419682756461235,0.22851236164569855,14.958284114745789,10.323037235024257,0.4156430998240067,0.6561392202144369,5.767459869384766
jpeg_compression,5,12.388561473761126,8.792825386258173,0.5991735417192252,0.7918925823436093,0.22853520512580872,12.000459194617118,8.656991536595655,0.6238939236182264,0.8023031774804096,5.018359661102295
