corruption_type,severity,online/rmse_loss,online/mae_loss,online/R2,online/r,online/model_dist,offline/rmse_loss,offline/mae_loss,offline/R2,offline/r,offline/model_dist
gaussian_noise,5,12.80473052071298,9.249004693102721,0.5717912800044539,0.7795047342848543,1.12351655960083,13.500703068242364,9.601321088641637,0.5239775973448272,0.7696351952070953,9.27850341796875
shot_noise,5,8.825439400726959,6.2809875784380935,0.7965829764289498,0.9192217853065741,1.1146990060806274,9.50067611854835,6.62950071517085,0.7642652283753021,0.9081168449923476,8.894063949584961
impulse_noise,5,16.08284667532552,11.678580138683822,0.32447649627737785,0.5823681678271636,1.1301912069320679,16.5781825569316,11.866688198692259,0.2822247876507057,0.5779132421590975,9.87704086303711
defocus_blur,5,14.798330116805062,10.902141063330522,0.4280737325519858,0.6711446575075701,1.1201759576797485,15.71452406566676,11.580259801465935,0.35506330804857367,0.6178833703305485,9.152081489562988
motion_blur,5,12.146418743547786,8.822794175806791,0.6146892557981936,0.809912264721877,1.1160223484039307,14.24058848387282,10.166262391900442,0.4703725400803972,0.705169522636995,9.031327247619629
zoom_blur,5,11.594103507025363,8.254068564121493,0.6489338412679894,0.838691061991552,1.1264959573745728,12.081962539860653,8.768112443313647,0.6187677865714689,0.8173349484213202,9.355052947998047
snow,5,16.395551077277343,11.913588740508331,0.2979522402133704,0.5571088103060212,1.1249357461929321,16.726434089259218,12.067564694948324,0.2693298795645729,0.5383090353773439,9.367923736572266
fog,5,12.625973537200032,9.058765951276103,0.5836636117159092,0.7993176354878659,1.1246750354766846,13.341553396680995,9.456299600558953,0.5351343906974756,0.7884563455361647,8.991345405578613
brightness,5,14.72864705901359,10.376500375711876,0.4334472765489614,0.6790595833998627,1.1211090087890625,18.932248289918338,12.613173315228854,0.06390698675797202,0.5185713679230983,9.179237365722656
contrast,5,7.619462263062429,5.334540115481966,0.8483776352287538,0.9483478663911248,1.1133595705032349,13.070931132345777,8.624143937196793,0.5538019440005855,0.8340058070731763,8.80103588104248
elastic_transform,5,10.199575593136691,7.366692318340013,0.7283067662033262,0.8944613107042622,1.118254542350769,10.535891490124053,7.534326552942417,0.7100940030628811,0.883861888153023,9.132660865783691
pixelate,5,14.346142384200046,10.063740013973845,0.46249204686547785,0.7086291301150737,1.1220122575759888,14.571864947525928,10.195445152657667,0.4454446544673737,0.7056735696536733,9.414753913879395
jpeg_compression,5,13.023465630713698,9.43671973871546,0.5570366883090753,0.7666216891180166,1.117986798286438,14.061385182790712,10.354136455916473,0.4836183143270748,0.7033153181873918,9.078533172607422
