corruption_type,severity,online/rmse_loss,online/mae_loss,online/R2,online/r,online/model_dist,offline/rmse_loss,offline/mae_loss,offline/R2,offline/r,offline/model_dist
gaussian_noise,5,12.826632059157879,9.106635434243831,0.5703251889717313,0.7581770389072421,0.2289600372314453,12.371551599074872,8.782069809902975,0.600273480105751,0.7819066391863742,4.179163932800293
shot_noise,5,7.344233136396068,5.094029312117697,0.8591335628740366,0.9327289058043051,0.2286321520805359,7.279373079960219,5.091562467042818,0.8616106793446432,0.9344096284985052,2.6744961738586426
impulse_noise,5,17.357859786015695,12.836550503585741,0.2131227801241553,0.4936657361919758,0.22905556857585907,17.044535445937292,12.347354691784433,0.24127401403947302,0.5218469495572209,5.1641058921813965
defocus_blur,5,14.09181425741902,10.12818119199536,0.48138097877837116,0.7185318942888456,0.2287462204694748,13.96003227269299,9.925234160778317,0.4910355306254708,0.725422989024575,4.29380464553833
motion_blur,5,9.591977094054954,6.59476920085425,0.7597126616162099,0.8878337333858898,0.22871480882167816,9.7241384255131,6.612815317839064,0.7530455331999361,0.8849846763807732,3.7481963634490967
zoom_blur,5,10.15692237524143,6.7361431528158615,0.7305743820766496,0.8687927284880803,0.2290119230747223,9.701019213562178,6.56875032957182,0.7542184094690163,0.8804706930466163,4.636099338531494
snow,5,16.378667748758268,11.82317730304788,0.2993973639718538,0.5763670735119862,0.2289177030324936,16.709048798437816,11.947002379508543,0.2708479928491435,0.5743305470294329,4.974716663360596
fog,5,12.82785402366907,9.145936873813541,0.5702433167580354,0.7657911535342492,0.22895392775535583,13.092869667556377,9.191706160356464,0.5523028699650367,0.7660677929816853,4.043097496032715
brightness,5,13.402062685375629,9.26371183558321,0.5309081249919171,0.744895673673831,0.2288794070482254,14.141660675203777,9.529771046456444,0.4777055085625972,0.7199380717733731,4.743361473083496
contrast,5,4.877356629454934,3.2396982028448638,0.9378725333212055,0.9723238766829992,0.22858916223049164,5.013022057314416,3.3493247073402235,0.9343682700232854,0.973607163557211,2.574082612991333
elastic_transform,5,8.789705240419446,6.1870641412676655,0.7982269105734665,0.9095728488076044,0.22876760363578796,8.686516777087624,6.138439114901919,0.8029366113877767,0.9126296905652503,3.388033628463745
pixelate,5,15.852737825432765,10.933123286226534,0.34366861015570704,0.6177438513402062,0.22872963547706604,15.383746973851807,10.747808347395065,0.3819282737117128,0.6416961727321256,4.879261016845703
jpeg_compression,5,12.490473589896203,8.885228261442734,0.592551773539093,0.7868349685837176,0.22884035110473633,12.525131875397475,8.812912788704915,0.5902874800663676,0.7870004755111346,3.89357852935791
