timestamp,dataset,epoch,iteration,rmse,mae,R2,r,lr
2026-03-04 18:08:00.845780,train_utkface,1,297,17.73423555346814,12.280743363473402,0.2029386745136551,0.6682270019108424,0.0001
2026-03-04 18:09:28.582826,train_utkface,2,594,8.686310814796771,6.334708391548479,0.8087785557977043,0.8995681837237441,0.0001
2026-03-04 18:10:25.144509,train_utkface,3,891,7.81591551584794,5.707218046475457,0.8451803646485898,0.9194066404831307,0.0001
2026-03-04 18:11:22.273150,train_utkface,4,1188,7.3487499335972135,5.365346720620024,0.863134837335316,0.9291084712596877,0.0001
2026-03-04 18:12:19.818268,train_utkface,5,1485,6.880449713394782,5.013051863104339,0.8800224852214588,0.9381208875058563,0.0001
2026-03-04 18:13:16.916217,train_utkface,6,1782,6.566587674020895,4.803976973163916,0.8907186493622132,0.9437991252952046,0.0001
2026-03-04 18:14:13.149671,train_utkface,7,2079,6.114270385001623,4.5117762099963095,0.9052553535737533,0.9514624719729192,0.0001
2026-03-04 18:15:10.440494,train_utkface,8,2376,5.8400364944175704,4.31248475971424,0.9135634680576105,0.9558116194812794,0.0001
2026-03-04 18:16:08.162828,train_utkface,9,2673,5.614818512644103,4.173244978119892,0.9201017421833495,0.9592284343989305,0.0001
2026-03-04 18:17:05.930815,train_utkface,10,2970,5.377418054001908,3.985013856303053,0.9267151962122467,0.9626702878969862,0.0001
2026-03-04 18:18:02.562988,train_utkface,11,3267,5.084858312593909,3.782647987293721,0.9344725211033588,0.9666835605071927,0.0001
2026-03-04 18:18:59.666777,train_utkface,12,3564,4.855423979735168,3.610665481494174,0.9402524390404953,0.9696702057295733,0.0001
2026-03-04 18:19:57.585828,train_utkface,13,3861,4.678797192625026,3.4843214530500344,0.9445202743749957,0.9718685408093968,0.0001
2026-03-04 18:20:53.931721,train_utkface,14,4158,4.519488249985471,3.3873493683107503,0.9482339710593518,0.9737763614616944,0.0001
2026-03-04 18:21:49.458766,train_utkface,15,4455,4.436110067826837,3.316584190633732,0.9501264395147077,0.974746201065337,0.0001
2026-03-04 18:22:46.441542,train_utkface,16,4752,4.22573448429693,3.1588177822006642,0.9547445413458493,0.9771132987900037,0.0001
