timestamp,dataset,epoch,iteration,rmse,mae,R2,r,lr
2026-03-04 17:00:54.225987,train_svhn,1,1145,2.4996575178000446,2.032853089124589,0.13632352918200275,0.38176744734304585,0.0001
2026-03-04 17:01:14.208054,train_svhn,2,2290,1.9656322451732091,1.4717209191613088,0.4659343998895181,0.6827763415160665,0.0001
2026-03-04 17:01:33.546093,train_svhn,3,3435,1.716965280931985,1.2109187304626179,0.5925136210381402,0.769819721562028,0.0001
2026-03-04 17:01:52.940123,train_svhn,4,4580,1.5829033717224759,1.071138359644812,0.6536630102144377,0.8085563798603153,0.0001
2026-03-04 17:02:12.505834,train_svhn,5,5725,1.4939799614280138,0.9816223833558568,0.691482634390163,0.8315897489789598,0.0001
2026-03-04 17:02:31.815131,train_svhn,6,6870,1.4166872427480601,0.9023138360497973,0.7225798285647251,0.8500774126103465,0.0001
2026-03-04 17:02:51.175125,train_svhn,7,8015,1.3598341864984567,0.8461759093840862,0.7443993346394342,0.8628081244490662,0.0001
2026-03-04 17:03:10.530224,train_svhn,8,9160,1.3172153793271584,0.800206379595124,0.760169918502616,0.8718960802767568,0.0001
2026-03-04 17:03:30.020621,train_svhn,9,10305,1.2863414886066964,0.7666960367268657,0.7712807996075971,0.8782408253830145,0.0001
2026-03-04 17:03:49.383205,train_svhn,10,11450,1.2418074227752474,0.7263345461013965,0.7868435039625943,0.8870527467879683,0.0001
2026-03-04 17:04:08.917300,train_svhn,11,12595,1.2069484186879782,0.6938014455956427,0.7986426487349372,0.8936804815473812,0.0001
2026-03-04 17:04:28.527989,train_svhn,12,13740,1.1829346947002977,0.6652280242843688,0.8065754439791875,0.8981041878109858,0.0001
2026-03-04 17:04:48.032262,train_svhn,13,14885,1.1547318009240046,0.6382669168987264,0.8156885472890191,0.9031602462511484,0.0001
2026-03-04 17:05:07.572567,train_svhn,14,16030,1.1346518772304992,0.6185816180535648,0.8220428911095435,0.9066706556885769,0.0001
2026-03-04 17:05:27.014938,train_svhn,15,17175,1.109850563747644,0.5936958242898289,0.8297374695865083,0.9109038661214129,0.0001
2026-03-04 17:05:46.614906,train_svhn,16,18320,1.0826897112431286,0.5726957513445814,0.8379690087048806,0.9154101092839472,0.0001
2026-03-04 17:06:05.982729,train_svhn,17,19465,1.0804724680249895,0.5625070385765183,0.8386319765818548,0.9157726670433717,0.0001
2026-03-04 17:06:25.438430,train_svhn,18,20610,1.0640770014891854,0.5487907725541586,0.8434921293153987,0.9184225154209755,0.0001
2026-03-04 17:06:44.299624,train_svhn,19,21755,1.041664653205256,0.5328616740550391,0.8500156571605604,0.921966903599001,0.0001
2026-03-04 17:07:02.453219,train_svhn,20,22900,1.0219934342271062,0.5122950067911599,0.8556269002856104,0.92500309822461,0.0001
2026-03-04 17:07:20.395230,train_svhn,21,24045,1.0179874617745983,0.5125088302141775,0.8567564988413239,0.9256152176037425,0.0001
2026-03-04 17:07:39.208588,train_svhn,22,25190,0.9978161899917494,0.4936404861480814,0.8623769551767423,0.9286462774675194,0.0001
2026-03-04 17:07:58.441829,train_svhn,23,26335,0.9818925965225692,0.4788139913250611,0.8667344056703126,0.9309881242858654,0.0001
2026-03-04 17:08:17.617791,train_svhn,24,27480,0.9760371456551906,0.47085938673096084,0.8683191073359524,0.9318383534820373,0.0001
2026-03-04 17:08:36.261706,train_svhn,25,28625,0.9565848730529779,0.45757071423208706,0.8735155643596482,0.9346230027198505,0.0001
2026-03-04 17:08:55.135311,train_svhn,26,29770,0.9575068576506873,0.45865113572764377,0.8732716280313658,0.9344918114250897,0.0001
2026-03-04 17:09:13.848558,train_svhn,27,30915,0.9358370513596461,0.44413620456065633,0.8789428233589252,0.9375209664636213,0.0001
2026-03-04 17:09:32.636014,train_svhn,28,32060,0.9301685326981973,0.4399817114320133,0.8804049082504138,0.9383006197838551,0.0001
2026-03-04 17:09:51.508193,train_svhn,29,33205,0.9267538516698118,0.4298542129506395,0.8812813720086132,0.938767074461923,0.0001
2026-03-04 17:10:10.901124,train_svhn,30,34350,0.9077808881352767,0.4180885124459096,0.8860925473158386,0.941326667062636,0.0001
2026-03-04 17:10:30.607400,train_svhn,31,35495,0.919248379734163,0.4227227218900583,0.8831965109920422,0.9397865294358875,0.0001
2026-03-04 17:10:50.333720,train_svhn,32,36640,0.8910313841437404,0.4068436399422581,0.8902571911133872,0.9435352838854004,0.0001
2026-03-04 17:11:10.149093,train_svhn,33,37785,0.885210682163795,0.3990137034686105,0.8916863074528936,0.9442926611934672,0.0001
2026-03-04 17:11:29.814809,train_svhn,34,38930,0.8829907506122373,0.3974096545381329,0.8922288844673416,0.9445795202429007,0.0001
2026-03-04 17:11:49.545448,train_svhn,35,40075,0.868397801222504,0.3936810486113955,0.8957616568155514,0.9464485931802169,0.0001
2026-03-04 17:12:11.778830,train_svhn,36,41220,0.8618182504510703,0.38299952884195365,0.8973352289230662,0.9472789545485842,0.0001
2026-03-04 17:12:32.820210,train_svhn,37,42365,0.8471958868838809,0.3757042842322235,0.9007894752366639,0.9491000328327108,0.0001
2026-03-04 17:12:53.324048,train_svhn,38,43510,0.8414771122732223,0.36790746106174155,0.9021243441193855,0.9498032158679071,0.0001
2026-03-04 17:13:13.231840,train_svhn,39,44655,0.8538222948461853,0.37439062990567457,0.8992314402871143,0.9482788102448912,0.0001
2026-03-04 17:13:34.528323,train_svhn,40,45800,0.8373319957894364,0.36801354627373495,0.9030862401346891,0.9503091111138735,0.0001
2026-03-04 17:13:55.710788,train_svhn,41,46945,0.8203550467361943,0.3568356735533806,0.9069762639281442,0.9523534683551288,0.0001
2026-03-04 17:14:17.448167,train_svhn,42,48090,0.8280432514908037,0.35666922721548794,0.9052244935909678,0.9514333347502304,0.0001
2026-03-04 17:14:37.975977,train_svhn,43,49235,0.8100607613597567,0.34552889356989774,0.9092962461162979,0.9535708887382627,0.0001
2026-03-04 17:14:58.740524,train_svhn,44,50380,0.8070064328342055,0.3422058322924772,0.9099789523751654,0.95392871111813,0.0001
2026-03-04 17:15:19.633029,train_svhn,45,51525,0.8002850955323417,0.34080488895259153,0.9114722295116774,0.9547114815390862,0.0001
2026-03-04 17:15:40.038856,train_svhn,46,52670,0.8034901168800301,0.3387586361200977,0.9107617288397705,0.9543385134798252,0.0001
2026-03-04 17:16:00.594720,train_svhn,47,53815,0.7852981599158619,0.3305758909984711,0.9147569011605182,0.9564296663273523,0.0001
2026-03-04 17:16:20.891651,train_svhn,48,54960,0.7784718356106525,0.3220319122660633,0.9162324373391448,0.9572006967424378,0.0001
2026-03-04 17:16:40.914895,train_svhn,49,56105,0.7884589741729676,0.3290789404084251,0.9140693155854396,0.9560700650512667,0.0001
2026-03-04 17:16:59.452600,train_svhn,50,57250,0.7703898388422881,0.3183696662520305,0.9179627372108786,0.9581040101104129,0.0001
2026-03-04 17:17:18.605983,train_svhn,51,58395,0.7740923893678692,0.3177047607225248,0.9171722879846788,0.9576917276741063,0.0001
2026-03-04 17:17:37.522829,train_svhn,52,59540,0.7635395922202646,0.3136384630905579,0.9194151887696062,0.9588618762559623,0.0001
2026-03-04 17:17:56.459716,train_svhn,53,60685,0.7532514574605581,0.3050890721193879,0.921572200322195,0.9599857741674581,0.0001
2026-03-04 17:18:15.656672,train_svhn,54,61830,0.7489672843782442,0.3032923688179969,0.9224617910625272,0.9604489468771943,0.0001
2026-03-04 17:18:34.724857,train_svhn,55,62975,0.7538826030124729,0.30272837621319465,0.9214407167543853,0.9599172452625583,0.0001
2026-03-04 17:18:53.668774,train_svhn,56,64120,0.7416063457458091,0.29836928446257693,0.9239784107888287,0.9612381708332481,0.0001
