corruption_type,severity,online/rmse_loss,online/mae_loss,online/R2,online/r,online/model_dist,offline/rmse_loss,offline/mae_loss,offline/R2,offline/r,offline/model_dist
gaussian_noise,5,14.05912181997409,10.110582880721367,0.48378453764403195,0.7200916251822409,0.22898179292678833,16.35120392688806,11.933653896857203,0.30174494124816653,0.633138280464876,8.39251708984375
shot_noise,5,9.975684950625086,6.854557895881671,0.7401037155716835,0.9063238840831372,0.2287381887435913,12.725462966819334,9.119412933716516,0.5770765135606684,0.8848923086176834,9.055610656738281
impulse_noise,5,17.719320522067513,13.152041367854883,0.18000963559577665,0.4370438899556144,0.22907863557338715,18.263617341968068,13.627602793450748,0.12885947086842064,0.38457443664533497,7.940521717071533
defocus_blur,5,16.23410341500556,11.938806752267453,0.31171035273254977,0.6284894023874126,0.22880777716636658,17.60557091943578,13.220869146804471,0.1905037391379879,0.5581079086778277,8.239396095275879
motion_blur,5,12.216445333879038,8.34848347526893,0.6102336583788299,0.8526817510725428,0.22868137061595917,14.366405292679767,10.376778863900022,0.4609725908490594,0.8230774275362744,8.737765312194824
zoom_blur,5,12.769528266185032,8.541986625975532,0.5741424723280493,0.815750261725075,0.22901380062103271,15.356980457306154,10.876265555789917,0.38407719553259,0.7595404235510173,8.650803565979004
snow,5,16.65414755154509,12.214048657983549,0.2756316988456823,0.5599454046206419,0.22898292541503906,17.80011885282954,13.199915794399915,0.17251443756314122,0.483900017414633,8.245258331298828
fog,5,14.456638519346573,10.3986632566969,0.4541802268662092,0.7208691309576347,0.2290003001689911,15.80654842818009,11.631582373180764,0.34748768382115547,0.7035954010994481,8.308036804199219
brightness,5,15.120439454792761,10.930189273096394,0.40290498150287446,0.683349977612131,0.2288523018360138,17.00279221333924,12.620642236606201,0.24498580687318183,0.5866802253445161,8.390631675720215
contrast,5,8.678513690341475,5.865725848977009,0.8032995621349519,0.947028912967001,0.2286449819803238,11.72438608930382,8.350845681290867,0.6409996732081785,0.9370665846898726,9.501291275024414
elastic_transform,5,11.687321888866592,8.282587237660831,0.6432658947061214,0.8673681016857204,0.22880339622497559,13.83449856550478,10.125617123233495,0.5001479630962641,0.8408256967577098,8.888603210449219
pixelate,5,15.863909537605732,11.267106425332209,0.3427432269093994,0.6346350788391764,0.22881951928138733,16.713335490269234,12.279265153712297,0.27047381824088124,0.6313789065384143,8.262287139892578
jpeg_compression,5,14.55587636321214,10.571802988557266,0.44666092851835626,0.7210352441649551,0.2287924885749817,16.606973005791943,12.308801380246784,0.27972957872917503,0.6487437090216924,8.410451889038086
