corruption_type,severity,online/rmse_loss,online/mae_loss,online/R2,online/r,online/model_dist,offline/rmse_loss,offline/mae_loss,offline/R2,offline/r,offline/model_dist
gaussian_noise,5,12.823837238465986,9.079396323296773,0.5705124139919493,0.7579239549673049,0.22864019870758057,12.043772989964165,8.556818181818182,0.6211740309008253,0.793855372259443,4.488246917724609
shot_noise,5,7.373954680512132,5.099220892216832,0.857991104645663,0.9312110244945869,0.22819212079048157,7.170384013604306,5.002667059955706,0.8657236735686796,0.936325986202219,2.945577383041382
impulse_noise,5,17.270206870477335,12.778484068498207,0.22104978694744448,0.5077423476433601,0.22877168655395508,16.779797090006063,12.230024651972158,0.26466027134607795,0.5417233852515105,5.62423038482666
defocus_blur,5,13.784421737628064,9.944810726903606,0.5037600494830161,0.7290140048289893,0.22837071120738983,13.419414263730264,9.745687552731491,0.5296926772374562,0.7368912298311755,4.705321788787842
motion_blur,5,9.50712128599365,6.521619499446319,0.7639452794762792,0.8879289320530565,0.22819456458091736,9.305167568743062,6.358272582261126,0.7738674825383798,0.8918188849287627,3.9798901081085205
zoom_blur,5,9.935529296754414,6.603307994753217,0.74219185295468,0.8734538478888079,0.22859087586402893,9.448480052956443,6.357652163309428,0.7668483345893331,0.8849417433043586,5.004048824310303
snow,5,16.94813545813453,12.171155709502214,0.24983210483124252,0.5459569776713628,0.2285705953836441,16.79768913456694,12.016635137629192,0.2630912719673767,0.548783162697211,5.297789096832275
fog,5,12.69138968251319,9.050545606148491,0.5793382937148068,0.7691620931704408,0.22860631346702576,12.480511067543109,8.951872627082894,0.5932014836083345,0.7731867422216742,4.593428134918213
brightness,5,13.722724668465567,9.415173980963932,0.5081923040256405,0.73050667028466,0.22849129140377045,14.196367356810281,9.606472296192786,0.47365672446410456,0.7098072582194246,4.968725204467773
contrast,5,4.828454021988756,3.1971066065967095,0.939112124427161,0.9721046835191863,0.22803686559200287,4.849117197210242,3.1994321477536385,0.938589874900026,0.9718597674581804,2.750110387802124
elastic_transform,5,8.795404913671911,6.191847464274415,0.797965146721183,0.9071242382589406,0.22820651531219482,8.436016503440433,5.922731062803206,0.8141384895443927,0.9126102910681273,3.7886271476745605
pixelate,5,15.808694198949235,10.856604124920903,0.3473105120752852,0.6195900559654163,0.228436678647995,15.990092475400587,10.940049238029951,0.3322458870391446,0.6126746791636372,5.141998767852783
jpeg_compression,5,12.369122904810048,8.780226679497996,0.6004304075868385,0.7869851191835759,0.22837945818901062,12.0924087727043,8.674925187196793,0.6181082642310318,0.7934926758254056,4.546091079711914
