corruption_type,severity,online/rmse_loss,online/mae_loss,online/R2,online/r,online/model_dist,offline/rmse_loss,offline/mae_loss,offline/R2,offline/r,offline/model_dist
gaussian_noise,5,14.046704345648346,10.056879976534486,0.48469601156555686,0.7007195060920728,0.0003429162607062608,13.847441924741965,9.881411819763763,0.49921221671441296,0.7091645175826893,0.0
shot_noise,5,7.327516830429802,5.124787426175912,0.8597740890017291,0.9297032892147874,0.00033708717091940343,7.310900697568159,5.022461143482388,0.8604093302745845,0.9303025445819024,0.0
impulse_noise,5,17.982162058232785,13.402904022094495,0.15550236934134154,0.4445531394125927,0.00034584602690301836,17.941746564209105,13.355228986500737,0.1592941752215724,0.45407899428297405,0.0
defocus_blur,5,14.281236925295762,10.233274230120228,0.46734467976353866,0.716650836179593,0.0003432577650528401,14.43989928323083,10.311210550253112,0.4554434965318658,0.7117444448203778,0.0
motion_blur,5,9.98289278384201,6.671676432978274,0.7397280088719539,0.8754033230512825,0.000341082108207047,9.74262697225997,6.604008746836111,0.7521055692629219,0.8890689717316034,0.0
zoom_blur,5,10.309518921580752,6.8600024223528795,0.7224179230379792,0.8561453232220403,0.0003436331753619015,10.526190580925313,6.963326071767559,0.7106276184708177,0.8526246565488657,0.0
snow,5,17.130517346296998,12.298614315281586,0.2335998539518369,0.548005902993576,0.0003454998950473964,17.201510200399145,12.356525851613583,0.22723440983855347,0.5484202742071319,0.0
fog,5,13.236888742507542,9.515881242090277,0.5423995340068493,0.7380019408118409,0.0003431068907957524,13.101681382619441,9.431008259069817,0.5517000522234041,0.7467369700074235,0.0
brightness,5,14.3023098399548,9.856731010071714,0.46577158333125035,0.7239435864679759,0.00034478484303690493,14.704187413956129,10.0557627280637,0.435327445426142,0.7218306598712649,0.0
contrast,5,4.675856399411574,3.11476432319131,0.9428998892009652,0.9738532480106615,0.00033486512256786227,4.653951963425693,3.1108951500210926,0.9434336165032225,0.9744875356479052,0.0
elastic_transform,5,8.963372658179916,6.318639511047247,0.7901748575432205,0.9029652513801716,0.0003414677339605987,8.96577002639537,6.306896043160726,0.7900626017178396,0.9057086877954696,0.0
pixelate,5,16.476983428862116,11.302983613689095,0.2909611519170412,0.5997056293234332,0.0003458804276306182,16.575981313547203,11.387339168951698,0.2824153867150542,0.5944018280142694,0.0
jpeg_compression,5,12.631036443156534,9.103077706443788,0.5833296502050385,0.7722686112189271,0.00034315965604037046,12.59852753354531,9.06730186142164,0.5854716862215679,0.7773339112597162,0.0
